"代码","名称","行业","板块","每手股数","认购倍数","发行市值","上市价","首日收盘价","中签率"
"01776","廣發證券","券商信托","主板",200,"181.34","1394.73億",18.85,25.4,"100.00"
"01245","NIRAKU","餐飲娛樂","主板",2000,"3.05","14.11億",1.18,1.19,"100.00"
"01415","高偉電子","工業制造","主板",1000,"5.24","35.34億",4.25,3.83,"100.00"
"03606","福耀玻璃","汽車","主板",400,"45.07","410.37億",16.8,19,"100.00"
"01310","香港寬頻","電訊","主板",500,"0.67","90.51億",9,9,"100.00"
"01566","華夏動漫","影視傳媒","主板",1000,"4.33","15.66億",3.65,3.72,"100.00"
"00442","KTL INT’L","紡織服飾","主板",1000,"40.79","2.40億",3,4.82,"100.00"
"01430","蘇創燃氣","公共事業","主板",2000,"5.67","16.64億",2.08,2.09,"100.00"
"01858","春立醫療","醫療保健","主板",200,"373.55","9.25億",13.88,14.3,"30.15"
"01027","集成傘業","家電家用","主板",2000,"1.71","6.60億",1.1,1.72,"100.00"
"01327","時間由你","紡織服飾","主板",2000,"2.02","8.80億",1.1,0.67,"100.00"
"06822","科勁國際","家電家用","主板",4000,"6.07","9.66億",1.38,1.04,"100.00"
"01362","新龍移動","通訊器材","主板",4000,"171.50","2.30億",0.82,0.92,"50.00"
"01993","雅仕維","影視傳媒","主板",500,"1.29","26.40億",6,5.79,"100.00"
"06161","泰加保險","保險","主板",2000,"11.80","8.05億",1.61,2.15,"100.00"
"03708","日成控股","建筑","主板",5000,"27.58","6.71億",0.6,0.67,"100.00"
"06866","佐力小貸","券商信托","主板",2000,"1.29","15.34億",1.3,1.85,"100.00"
"02212","高鵬礦業","一般金屬","主板",4000,"24.20","3.10億",0.88,0.89,"100.00"
"01035","BBI生命科技","醫療保健","主板",1500,"49.30","9.18億",1.75,1.75,"60.06"
"08267","藍港互動","軟件服務","創業板",500,"0.15","36.24億",9.8,9.8,"100.00"
"02066","盛京銀行","銀行","主板",500,"2.20","426.84億",7.56,7.58,"100.00"
"02277","震升工程","建筑","主板",5000,"27.92","6.18億",0.6,0.63,"100.00"
"01958","北京汽車","汽車","主板",500,"2.11","668.21億",8.9,8.85,"100.00"
"00520","呷哺呷哺","餐飲娛樂","主板",500,"4.07","49.56億",4.7,4.54,"100.00"
"01669","環球信貸集團","券商信托","主板",2000,"15.42","5.40億",1.35,1.69,"100.00"
"01816","中廣核電力","公共事業","主板",1000,"287.30","1226.68億",2.78,3.31,"100.00"
