"代码","名称","行业","板块","每手股数","认购倍数","发行市值","上市价","首日收盘价","中签率"
"06830","華眾控股","汽車","主板",2000,"1.10","11.20億",1.4,1.49,"100.00"
"01296","國電科環","工業制造","主板",1000,"0.01","130.98億",2.16,2.16,"100.00"
"01251","華油能源","石油天然氣","主板",2000,"0.06","18.81億",1.23,1.25,"100.00"
"01252","中國天瑞水泥","建筑","主板",1000,"0.02","57.86億",2.41,2.94,"100.00"
"03778","中國織材控股","紡織服飾","主板",4000,"1.13","7.09億",0.7,0.86,"100.00"
"02200","浩沙國際","紡織服飾","主板",2000,"0.54","26.52億",1.6,1.6,"100.00"
"01336","新華保險","保險","主板",100,"0.56","889.07億",28.5,25.7,"100.00"
"01929","周大福","紡織服飾","主板",200,"6.62","1500.00億",15,13.8,"65.00"
"01293","廣匯寶信","汽車","主板",500,"0.74","217.37億",8.5,7.3,"100.00"
"02133","中國多金屬","一般金屬","主板",1000,"0.20","44.15億",2.22,1.35,"100.00"
"06880","豪特保健","家電家用","主板",2000,"242.61","5.05億",1.58,1.58,"21.04"
"01146","中國服飾控股","紡織服飾","主板",2000,"10.04","56.51億",1.64,1.49,"100.00"
"01262","蠟筆小新食品","食品飲料","主板",1000,"1.94","30.01億",2.65,2.2,"100.00"
"02121","一化控股","原材料","主板",1000,"0.25","21.66億",2.7,2.72,"100.00"
"01023","時代集團控股","紡織服飾","主板",1000,"4.25","29.55億",2.95,3.01,"80.00"
"06823","香港電訊-SS","電訊","主板",1000,"0.12","290.68億",4.53,4.55,"100.00"
"00844","廣泰國際控股","紡織服飾","主板",4000,"6.98","3.04億",0.8,0.95,"100.00"
"01269","首控集團","汽車","主板",2000,"4.52","5.38億",1.4,1.79,"100.00"
"01239","TEAMWAY INTL GP","工用支援","主板",4000,"2.90","2.50億",1.25,1.27,"80.31"
"08122","先健科技","醫療保健","創業板",2000,"0.67","--",2,0,"100.00"
"01152","豐臨集團","紡織服飾","主板",4000,"4.30","2.08億",0.5,0.53,"100.00"
"06030","中信證券","券商信托","主板",500,"0.09","1465.25億",13.3,13.3,"100.00"
"03788","中國罕王","一般金屬","主板",1000,"0.21","45.93億",2.51,2.45,"100.00"
"01235","專業旅運","餐飲娛樂","主板",5000,"16.66","3.24億",0.63,0,"70.04"
"01096","動感集團","紡織服飾","主板",2000,"1.07","14.40億",1.2,1.19,"100.00"
"06868","天福","食品飲料","主板",1000,"1.15","73.63億",6,5.78,"100.00"
"01028","鴻國國際","紡織服飾","主板",1000,"0.19","46.00億",2.3,1.96,"100.00"
"06808","高鑫零售","零售","主板",500,"0.19","686.86億",7.2,10.12,"60.01"
"01127","匯星印刷","公用支援","主板",4000,"1.73","5.39億",0.7,0.63,"100.00"
"01663","漢港控股","地產","主板",2000,"0.05","13.20億",1.1,1.13,"100.00"
"06838","盈利時","紡織服飾","主板",2000,"1.80","9.35億",1.87,1.9,"100.00"
"01259","中國兒童護理","紡織服飾","主板",1000,"28.70","26.28億",2.6,2.53,"100.00"
"02123","金盾控股","紡織服飾","主板",4000,"80.20","6.59億",0.7,0.62,"50.09"
"03777","中國光纖","通訊器材","主板",2000,"0.36","17.49億",1.2,1.25,"100.00"
"01165","順風光電","工業制造","主板",2000,"4.92","21.76億",1.11,0.99,"80.08"
"02098","卓爾集團","地產","主板",1000,"1.05","101.15億",2.89,3.09,"100.00"
"06828","中國威力印刷","工用支援","主板",2000,"100.90","3.09億",1.48,1.34,"100.00"
"00579","京能清潔能源","公共事業","主板",2000,"0.05","108.17億",1.67,0,"100.00"
"01082","現代教育","居民服務","主板",2000,"26.80","7.49億",1.3,1.39,"100.00"
"01115","西藏5100","食品飲料","主板",1000,"0.87","77.07億",3,3.69,"100.00"
"01241","雙樺控股","汽車","主板",2000,"1.59","7.54億",1.16,1.46,"100.00"
"01913","普拉達","紡織服飾","主板",100,"0.50","1010.74億",39.5,39.6,"100.00"
"00871","翔宇疏浚","建筑","主板",1000,"1.57","25.52億",3.19,2.45,"100.00"
"01910","新秀麗","紡織服飾","主板",300,"1.23","204.03億",14.5,13.38,"100.00"
"00935","龍翔集團","貨運物流","主板",2000,"39.50","12.21億",1.1,1.14,"100.00"
"00958","華能新能源","公共事業","主板",2000,"0.65","225.73億",2.5,2.43,"100.00"
"02282","美高梅中國","餐飲娛樂","主板",400,"20.81","582.92億",15.34,15.62,"80.00"
"03363","正業國際","原材料","主板",2000,"342.00","7.15億",1.43,1.44,"10.02"
"02083","大自然家居","家電家用","主板",1000,"7.58","43.71億",2.95,2.94,"80.01"
"01150","米蘭站","紡織服飾","主板",2000,"2179.50","11.26億",1.67,2.77,"1.00"
"02607","上海醫藥","醫療保健","主板",100,"16.06","618.45億",23,23,"79.99"
"02299","百宏實業","紡織服飾","主板",500,"1.53","115.15億",5.18,5.28,"100.00"
"02789","遠大中國","建筑","主板",2000,"0.36","93.13億",1.5,1.66,"100.00"
"87001","匯賢產業信托","地產","主板",1000,"2.19","274.28億",5.24,4.75,"100.00"
"01623","海隆控股","石油天然氣","主板",1000,"4.02","44.03億",2.6,2.73,"100.00"
"01011","泰凌醫藥","醫療保健","主板",500,"5.88","49.12億",4.54,3.82,"90.03"
"01181","唐宮中國","餐飲娛樂","主板",2000,"614.16","6.90億",1.65,2.31,"20.02"
"03360","遠東宏信","其他金融","主板",1000,"4.86","207.09億",6.29,6.87,"100.00"
"01378","中國宏橋","一般金屬","主板",500,"0.20","423.72億",7.2,7.9,"100.00"
"03688","萊蒙國際","地產","主板",500,"0.57","71.98億",6.23,5.3,"100.00"
"01380","中國金石","一般金屬","主板",1000,"1.94","43.83億",2.25,1.98,"100.00"
"01121","寶峰時尚","紡織服飾","主板",2000,"9.33","20.27億",2,1.8,"80.00"
"01143","中慧國際控股","家電家用","主板",2000,"317.00","4.94億",1.2,1.23,"40.01"
"01323","NEWTREE GROUP","家電家用","主板",2000,"17.81","14.20億",1.95,1.76,"60.03"
"02011","KEE","紡織服飾","主板",2000,"160.00","5.52億",1.33,1.35,"70.02"
"01089","森寶食品","軟件服務","主板",5000,"85.00","11.29億",0.68,0.77,"100.00"
"01085","亨鑫科技","通訊器材","主板",2000,"2.40","8.73億",2.25,2.22,"100.00"
"01157","中聯重科","工業制造","主板",200,"8.17","1154.35億",14.98,16.18,"80.02"
"00327","百富環球","軟件服務","主板",1000,"1.40","30.02億",2.88,2.89,"100.00"
"01112","合生元","食品飲料","主板",500,"15.68","66.25億",11,10.44,"60.00"
"01798","大唐新能源","公共事業","主板",1000,"0.89","169.48億",2.33,2.19,"100.00"
"03618","重慶農村商業銀行","銀行","主板",1000,"4.30","488.25億",5.25,5.2,"100.00"
"01282","中國金洋","通訊器材","主板",4000,"18.00","27.81億",0.95,0.96,"80.00"
"01555","ＭＩ能源","石油天然氣","主板",2000,"3.45","45.02億",1.7,1.7,"50.00"
"01728","正通汽車","汽車","主板",500,"3.33","161.33億",7.3,7.39,"100.00"
"00468","紛美包裝","工用支援","主板",1000,"4.37","57.51億",4.3,4.92,"80.03"
"01831","十方控股","影視傳媒","主板",1000,"0.91","25.45億",3.03,2.65,"100.00"
"01090","大明國際","一般金屬","主板",2000,"0.57","21.79億",2.1,2.12,"100.00"
"02099","中國黃金國際","貴金屬","主板",100,"24.30","177.12億",44.68,42.95,"60.00"
"01117","現代牧業","食品飲料","主板",1000,"4.01","139.26億",2.89,2.51,"100.00"
"01110","金活醫藥集團","醫療保健","主板",4000,"457.00","9.96億",1.6,2.05,"20.00"
"01086","好孩子國際","家電家用","主板",1000,"1459.77","49.25億",4.9,5.8,"5.00"
"01101","中國熔盛重工","工業制造","主板",500,"22.61","560.00億",8,7.96,"30.00"
"01091","中信大錳","一般金屬","主板",1000,"321.06","83.18億",2.75,2.92,"50.00"
"00312","歲寶百貨","零售","主板",2000,"26.73","54.89億",2.2,1.81,"50.01"
"00842","理士國際","工業制造","主板",1000,"259.00","71.53億",5.35,4.67,"20.00"
"01087","泓淋科技","通訊器材","主板",1000,"117.20","20.16億",2.8,2.42,"10.01"
"01600","天倫燃氣","公共事業","主板",1500,"452.92","16.97億",2.05,2.14,"20.00"
"00238","長興國際","紡織服飾","主板",1000,"1231.78","43.65億",4.6,5.8,"10.00"
"01299","友邦保險","保險","主板",200,"9.62","2370.26億",19.68,23.05,"60.00"
"00460","四環醫藥","醫療保健","主板",1000,"480.00","238.05億",4.6,5.77,"20.00"
"01007","環球乳業","食品飲料","主板",1000,"12.79","44.36億",4.39,3.94,"50.01"
"01700","華地國際控股","零售","主板",1000,"81.00","148.25億",5.93,6.68,"60.00"
"01685","博耳電力","工業制造","主板",1000,"341.54","49.54億",6.38,7.25,"30.00"
"00580","賽晶電力電子","工業制造","主板",2000,"543.00","26.30億",1.93,2.5,"10.00"
"00956","新天綠色能源","公共事業","主板",1000,"242.19","--",2.66,2.64,"60.00"
"00975","MONGOL MINING","煤炭","主板",500,"10.92","260.09億",7.02,7.35,"50.01"
"01733","易大宗","煤炭","主板",1000,"41.87","139.61億",3.7,3.38,"50.00"
"03683","榮豐聯合控股","貨運物流","主板",2500,"308.00","9.38億",1.13,1.17,"5.01"
"02208","金風科技","工業制造","主板",200,"41.19","484.49億",17.98,19.06,"50.00"
"01918","融創中國","地產","主板",1000,"3.83","115.50億",3.48,3.37,"79.99"
"02468","創益太陽能","工業制造","主板",1000,"494.07","71.31億",4.5,5.07,"20.00"
"01021","麥達斯控股","一般金屬","主板",1000,"4.11","66.12億",5.43,5.83,"60.01"
"01308","海豐國際","貨運物流","主板",1000,"1.73","123.56億",4.78,4.53,"100.00"
"01682","華隆金控","紡織服飾","主板",4000,"126.30","2.68億",0.6,1.25,"10.50"
"00926","碧生源","醫療保健","主板",1000,"20.90","48.97億",3.12,3.58,"50.00"
"01698","博士蛙國際","紡織服飾","主板",1000,"485.47","103.34億",4.98,7.02,"30.00"
"00867","康哲藥業","醫療保健","主板",800,"86.00","122.19億",5.06,5.64,"20.00"
"00853","微創醫療","醫療保健","主板",1000,"225.27","85.94億",6.1,8.29,"50.00"
"01039","暢豐車橋","工業制造","主板",1000,"116.54","32.00億",4,4.5,"50.01"
"02198","中國三江化工","原材料","主板",1000,"248.85","33.57億",3.38,3.33,"30.01"
"01428","耀才證券金融","其他金融","主板",2000,"163.31","16.71億",1.6,1.74,"30.01"
"02233","西部水泥","建筑","主板",2000,"137.62","76.85億",1.69,1.94,"79.99"
"00640","星謙發展","原材料","主板",4000,"721.00","3.42億",0.6,0.93,"40.00"
"00936","敏達控股","工業制造","主板",5000,"22.45","8.00億",1,1.12,"100.00"
"01288","農業銀行","銀行","主板",1000,"5.87","10393.41億",3.2,3.27,"100.00"
"01900","中國智能交通","軟件服務","主板",1000,"225.90","57.43億",3.49,3.49,"60.00"
"02118","天山發展控股","地產","主板",2000,"0.13","14.00億",1.4,1.46,"100.00"
"01019","康宏理財","保險","主板",2000,"92.48","5.56億",1.2,1.52,"60.00"
"00976","齊合環保","一般金屬","主板",2000,"1.19","25.38億",2.43,2.39,"100.00"
"01788","國泰君安國際","券商信托","主板",1000,"57.74","74.29億",4.3,4.14,"100.00"
"00951","超威動力","工業制造","主板",1000,"9.98","21.92億",2.18,1.98,"70.02"
"01020","華耐控股","工業制造","主板",4000,"208.50","9.12億",0.76,0.71,"70.03"
"02128","中國聯塑","建筑","主板",1000,"1.99","79.55億",2.6,2.6,"100.00"
"02228","海東青新材料","紡織服飾","主板",1000,"4.78","18.48億",2.38,2.36,"50.05"
"02188","泰坦能源技術","工業制造","主板",2000,"475.00","9.79億",1.18,1.46,"60.00"
"02268","優源控股","原材料","主板",1000,"3.01","28.38億",2.58,2.52,"100.00"
"02222","雷士照明","家電家用","主板",1000,"38.65","65.70億",2.1,2.04,"60.01"
"00503","朗生醫藥","醫療保健","主板",1000,"853.00","16.23億",3.91,4.56,"10.00"
"00973","L'OCCITANE","紡織服飾","主板",250,"159.84","222.73億",15.08,14.4,"60.00"
"00877","昂納光通信集團","通訊器材","主板",1000,"254.65","21.14億",2.9,3.99,"60.00"
"01863","中國龍天集團","原材料","主板",1000,"137.97","27.97億",3.28,3.68,"59.98"
"01999","敏華控股","家電家用","主板",400,"0.30","61.02億",6.8,6.7,"100.00"
"00923","福和集團","原材料","主板",2000,"470.59","55.46億",2.3,2.7,"50.00"
"00830","遠東環球","建筑","主板",2000,"2.34","25.44億",1.18,1.29,"50.00"
"01998","飛克國際","紡織服飾","主板",2000,"33.00","15.44億",1.9,2.16,"35.08"
"00881","中升控股","汽車","主板",500,"1.24","190.85億",10,10.72,"100.00"
"01280","匯銀智慧社區","家電家用","主板",2000,"599.40","17.72億",1.69,2.44,"30.00"
"00948","Z-OBEE","通訊器材","主板",2000,"1.50","13.73億",1.8,1.87,"100.00"
"02010","瑞年國際","醫療保健","主板",1000,"7.36","33.69億",3,2.77,"79.97"
"01938","珠江鋼管","石油天然氣","主板",1000,"5.50","45.50億",4.5,4.51,"100.00"
"01966","中駿置業","地產","主板",1000,"2.69","89.02億",2.6,2.72,"100.00"
"00953","美克國際","紡織服飾","主板",2000,"439.74","16.94億",1.43,1.44,"50.01"
"01878","南戈壁-S","煤炭","主板",50,"21.44","231.72億",126.04,112,"79.99"
